ASV_ID,Cluster_ID
ASV1,-1
ASV2,6
ASV3,0
ASV4,7
ASV5,11
ASV6,12
ASV7,9
ASV8,10
ASV9,7
ASV10,10
ASV11,7
ASV12,11
ASV13,0
ASV14,6
ASV15,12
ASV16,11
ASV17,7
ASV18,12
ASV19,3
ASV20,7
ASV21,12
ASV22,11
ASV23,-1
ASV24,10
ASV25,3
ASV26,7
ASV27,12
ASV28,12
ASV29,7
ASV30,12
ASV31,12
ASV32,-1
ASV33,9
ASV34,2
ASV35,12
ASV36,4
ASV37,6
ASV38,0
ASV39,11
ASV40,1
ASV41,12
ASV42,9
ASV43,12
ASV44,12
ASV45,10
ASV46,8
ASV47,-1
ASV48,4
ASV49,11
ASV50,4
ASV51,7
ASV52,-1
ASV53,-1
ASV54,12
ASV55,6
ASV56,7
ASV57,-1
ASV58,2
ASV59,-1
ASV60,12
ASV61,1
ASV62,5
ASV63,-1
ASV64,3
ASV65,12
ASV66,12
ASV67,3
ASV68,0
ASV69,7
ASV70,7
ASV71,2
ASV72,12
ASV73,4
ASV74,6
ASV75,2
ASV76,6
ASV77,12
ASV78,12
ASV79,7
ASV80,7
ASV81,7
ASV82,7
ASV83,7
ASV84,1
ASV85,12
ASV86,7
ASV87,10
ASV88,10
ASV89,10
ASV90,6
ASV91,0
ASV92,3
ASV93,10
ASV94,6
ASV95,12
ASV96,2
ASV97,10
ASV98,7
ASV99,12
ASV100,6
ASV101,3
ASV102,6
ASV103,4
ASV104,5
ASV105,-1
ASV106,6
ASV107,-1
ASV108,10
ASV109,10
ASV110,5
ASV111,8
ASV112,3
ASV113,2
ASV114,7
ASV115,11
ASV116,1
ASV117,12
ASV118,12
ASV119,8
ASV120,4
ASV121,-1
ASV122,11
ASV123,1
ASV124,5
ASV125,0
ASV126,11
ASV127,6
ASV128,-1
ASV129,12
ASV130,8
ASV131,8
ASV132,7
ASV133,12
ASV134,5
ASV135,-1
ASV136,-1
ASV137,9
ASV138,7
ASV139,2
ASV140,9
ASV141,7
